section,description,title,brief_title,tags
Federal Indian Law,"The Supreme Court received multiple filings from historians in Haaland v. Brackeen, a case that upheld the constitutionality of the Indian Child Welfare Act of 1978 (ICWA). The American Historical Association and the Organization of American Historians filed a brief in support of ICWA’s constitutionality. The amici situate ICWA in a history and tradition of federal regulation of Native children and families dating back to the founding era and stretching into the 20th century, arguing that, in that respect, the statute falls within Congress’s constitutional powers. The brief further shows how ICWA sought to correct failed federal policies — including those that encouraged state governments to separate large numbers of Native children from their families and their nations — by strengthening tribal jurisdiction and establishing protections against future abuses by the states. A legal scholar and historian of federal Indian law also filed a brief supporting ICWA’s constitutionality. The brief looks to the Constitution’s text and to early American history and practice to demonstrate the constitutionality of Congress’s attempts to regulate Native American affairs, especially on matters of child welfare. The amici also challenge narrower accounts of federal power over Native affairs, showing how those accounts resemble arguments lodged by state advocates and rejected by courts over the course of several centuries.",Haaland v. Brackeen (2023),Brief of Amici Curiae American Historical Association and Organization of American Historians in Support of Federal and Tribal Parties | Brief of Amicus Curiae Professor Gregory Ablavsky in Support of Federal Parties and Tribal Defendants,Federal Indian Law
Voting Rights and Representation,"Four historians of early American constitutional history and political representation filed a brief in Vieth v. Jubelirer, a case that left open the question of partisan gerrymandering’s constitutionality. The brief argues that partisan gerrymandering contradicts the founding era principle of fair representation that underpinned the framers’ design of Article I of the Constitution. As the amici explain, the framers believed that politicians should not be able to manipulate the composition of the House of Representatives and sought to ensure that the House “mirrored” the composition of the community it represented. According to the brief, redistricting practices that allow parties to create safe seats for themselves or to convert a minority of votes into a supermajority of seats are therefore unconstitutional.",Vieth v. Jubelirer (2004),"Brief of Amici Curiae Jack N. Rakove, Alexander Keyssar, Peter S. Onuf and Rosemarie Zagarri in Support of Appellants","Partisan Gerrymandering, Elections, Democracy, Article I"
Voting Rights and Representation,"The Supreme Court received multiple filings from historians in Arizona State Legislature v. Arizona Independent Redistricting Commission, a case that upheld the constitutionality of Arizona’s independent redistricting commission drawing the state’s congressional districts. Five historians with expertise in colonial and founding era history filed a brief in support of the commission. The brief explains, among other things, that the ballot initiative process through which Arizona voters created the commission was consistent with founding era ideas of popular sovereignty and the legislative power of the people as distinct from their legislators. Three scholars and historians of Congressional redistricting also filed a brief in support of the commission. The brief argues that the Court should have resolved the case on statutory rather than constitutional grounds. The amici include a detailed discussion of the legislative history of the statute now codified at 2 U.S.C. § 2a(c), arguing that Congress enacted it to empower states to redistrict according to their own specific lawmaking procedures. In doing so, the brief explains, Congress was lawfully exercising its power under the Constitution’s Elections Clause to set the rules for federal elections.",Arizona State Legislature v. Arizona Independent Redistricting Commission (2015),"Brief of Jack N. Rakove, Richard R. Beeman, Alexander Keyssar, Peter S. Onuf, and Rosemarie Zagarri as Amici Curiae in Support of Appellees | Brief of Scholars and Historians of Congressional Redistricting as Amici Curiae in Support of Appellees","Redistricting, Elections, Democracy"
Voting Rights and Representation,"Thirty historians and scholars of the Voting Rights Act (VRA) and the civil rights era filed a brief in Shelby County v. Holder, a case in which the Supreme Court invalidated the formula used to determine the jurisdictions covered by Section 5 of the Voting Rights Act of 1965. The brief argues, among other things, that Congress acted consistently with the VRA’s original purposes when, in 2006, it reauthorized the VRA with a focus on “second-generation tactics” that discriminated against minority voters in ways beyond denying those voters access to the ballot box. The amici assert that the VRA’s most recent coverage formula was as precise as any that the Court previously upheld.",Shelby County v. Holder (2013),Brief of Historians and Social Scientists as Amici Curiae in Support of Respondents,"Voting Rights Act, Elections, Democracy, 14th Amendment, 15th Amendment, 10th Amendment, Article IV"
Voting Rights and Representation,"Fifteen scholars of American history filed a brief in Gill v. Whitford, a case that considered the constitutionality of partisan gerrymandering. The brief argues that the founding ideal of representative democracy requires a close correspondence between the public and their elected officials, and that partisan gerrymandering severs that correspondence by entrenching officials’ power and undermining their political accountability. The amici explain that the 1st and 14th Amendments both reflect that vision of representative democracy and protect rights necessary to sustain it. They also document that partisan gerrymandering has been denounced as unconstitutional and antidemocratic throughout American history.",Gill v. Whitford (2018),Brief of Amici Curiae Historians in Support of Appellees,"Partisan Gerrymandering, Redistricting, Elections, Democracy, First Amendment, 14th Amendment"
Voting Rights and Representation,"Ten historians with expertise in voting rights and U.S. elections filed a brief in Husted v. A. Philip Randolph Institute, in which the Supreme Court declared that Ohio’s practice of canceling the registrations of nonvoters did not violate the National Voter Registration Act of 1993 (NVRA). The brief argues that Ohio’s procedure is illegal. It explains that states began purging nonvoters in the early 20th century to maintain accurate voter registration lists, but that over time, both the states and Congress came to see this practice as ineffective and unfair, potentially contributing to low turnout and disproportionately burdening lower-income and minority voters. The amici further show that Congress enacted the NVRA’s prohibition of removal “by reason of the person’s failure to vote” to encourage states to use more precise and less discriminatory methods for identifying ineligible voters, and that the Department of Justice acted with this understanding until recently.",Husted v. A. Philip Randolph Institute (2018),Brief for American History Professors as Amici Curiae in Support of Respondents,"Elections, Democracy, Voting Rights, National Voter Registration Act"
Voting Rights and Representation,"Sixteen founding era historians filed a brief in Rucho v. Common Cause and Lamone v. Benisek, two cases that considered the constitutionality of partisan gerrymandering. The brief argues that partisan gerrymandering is antithetical to the founding era principle of fair and effective representation. As the amici explain, the 1st and 14th Amendments and Article I of the Constitution reflect founding era concerns that legislators would entrench their power by manipulating election rules and stifling political expression. Likewise, the brief shows, the framers empowered the federal judiciary to counter legislative overreach. The amici contend that voters should therefore have effective judicial remedies against partisan gerrymandering. They underscore that the constitutional question in these cases did not turn on the Constitution’s text but rather on “fundamental substantive founding principles,” founding era debates, and other sources.",Rucho v. Common Cause (2019); Lamone v. Benisek (2019),Brief of Amici Curiae Historians in Support of Appellees,"Partisan Gerrymandering, Redistricting, Elections, Democracy, First Amendment, 14th Amendment, Article I, Article III"
Voting Rights and Representation,"Ten scholars of Alabama history filed a brief in Allen v. Milligan, which ruled that Alabama’s 2021 congressional redistricting plan likely violated Section 2 of the Voting Rights Act. The brief explains that Alabama’s “Black Belt region” — a majority-Black part of the state — is a “community of interest” that should be prioritized when the state’s electoral districts are drawn. To illustrate that residents of the Black Belt have a shared history going back two centuries, the amici document the region’s roots in slavery and describe the economic hardship, exclusion from social services, and other discrimination that Black Belt residents have historically faced.",Allen v. Milligan (2023),Brief for Alabama Historians as Amici Curiae Supporting Appellee-Respondents,"Redistricting, Elections, Democracy, Voting Rights Act"
Voting Rights and Representation,"Thirty historians and legal scholars of the American South filed a brief in Alexander v. South Carolina State Conference of the NAACP, a case that rejected a racial gerrymandering challenge to South Carolina’s congressional map. Supporting the conclusion that the map racially discriminated against Black voters, the brief surveys the long history of racial discrimination in South Carolina politics aimed at diminishing the power of Black voters. The amici also position the 2020 round of congressional redistricting as the latest instance in a recurring pattern of discrimination against Black voters dating back to Reconstruction.",Alexander v. South Carolina State Conference of the NAACP (2024),Brief of Amici Curiae Historians in Support of Appellees and Affirmance,"Racial Gerrymandering, Redistricting, Elections, Democracy"
Voting Rights and Representation,"Three historians with expertise in the history of Louisiana and the American South filed a brief in Louisiana v. Callais and Robinson v. Callais, two cases that considered whether a remedial congressional map for Louisiana was an unconstitutional racial gerrymander. In supporting the creation of a second majority-Black congressional district, the brief argues that the district encompassed a well-established community of interest united by a shared history and common needs, including a common lineage of slavery. The amici further show that the residents of the district experience hardships stemming from their shared experiences of racial discrimination.",Louisiana v. Callais (2025); Robinson v. Callais (2025),Brief for Louisiana Historians as Amici Curiae Supporting Appellants,"Racial Gerrymandering, Redistricting, Elections, Democracy, Voting Rights Act"
First Amendment Rights,"The Supreme Court received multiple filings from historians in Locke v. Davey, which ruled that the state of Washington did not violate the First Amendment’s Free Exercise Clause by prohibiting funding for devotional theology instruction. Twenty-four historians and legal scholars of religion and the First Amendment filed a brief supporting the state. The brief challenges the argument that the Washington Constitution’s ban on funding reflected anti-Catholic or nativist sentiment. Instead, the amici explain, that constitution’s no-funding principle was based on “principles of religious liberty and rights of conscience” and resembles provisions incorporated into many other state constitutions over the course of the 19th century “for reasons unrelated to anti-Catholic animus.” The Becket Fund for Religious Liberty, the Catholic League for Religious and Civil Rights, and 18 religious historians and legal scholars filed a brief supporting state funding for religious instruction. Situating the Washington Constitution in a broader trend of 19th-century federal and state laws and policies designed to disfavor Catholic schools in particular, the brief argues that Washington’s no-funding rule is rooted in nativism and hostility toward European immigrants and their religions.",Locke v. Davey (2004),"Brief Amicus Curiae of Historians and Law Scholars on Behalf of Petitioners Gary Locke, et al. | Brief of Amici Curiae The Becket Fund for Religious Liberty, The Catholic League for Religious and Civil Rights, and Historians and Legal Scholars in Support of Respondent","First Amendment, Free Exercise Clause, Religion"
First Amendment Rights,"Forty legal historians and scholars of religion and law filed a brief in Town of Greece v. Galloway, which held that a town’s practice of opening legislative meetings with a prayer does not violate the First Amendment’s Establishment Clause. In opposing the town’s practice, the brief explains that the framers were particularly concerned about religious language in political discourse that could divide rather than unite; that they believed that religious language in public life should be “universal and non-sectarian”; and that they were averse to coerced religious observation. The amici argue that because this town’s prayer exerted substantial pressure on citizens looking to participate in town politics, the framers would not have supported it.",Town of Greece v. Galloway (2014),"Brief for Paul Finkelman, Steven K. Green, Michael I. Meyerson, John A. Ragosta, and 36 Other Legal Historians and Scholars of Religion and American Law as Amici Curiae in Support of Respondents","First Amendment, Establishment Clause, Religion"
First Amendment Rights,"Nine historians and scholars of American history filed a brief in Burwell v. Hobby Lobby Stores, which ruled that federal regulations requiring for-profit employers with religious objections to nonetheless provide their employees with health insurance coverage for contraception violated the Religious Freedom Restoration Act of 1993. The brief, in support of neither party to the case, explores the history of corporate treatment under the law and argues that the law has not historically granted for-profit businesses the same liberty interests that “natural persons” (as distinct from artificial entities such as businesses) enjoy.","Burwell v. Hobby Lobby Stores, Inc. (2014)",Brief of Amici Curiae Historians and Legal Scholars Supporting Neither Party,"Reproductive Rights, Corporate Law, Affordable Care Act, Religious Freedom Restoration Act, Religion, Free Exercise Clause"
First Amendment Rights,"Seven military historians filed a brief in Zubik v. Burwell, a case that challenged accommodations allowing employers with religious objections to opt out of providing contraceptive coverage to their employees, and to pass that cost on to the government or medical insurance companies. The brief argues that American law has long deployed accommodations like those in question to balance the religious liberty of some with the personal interests of others, and to balance both with “the important interests of the government.” The amici draw parallels between the accommodations at issue and historical conscientious objector laws that required people who objected to military service to pay money or provide alternative service to the country.",Zubik v. Burwell (2016),Brief of Military Historians as Amici Curiae in Support of Respondents,"Reproductive Rights, Affordable Care Act, Religious Freedom Restoration Act, Religion, Free Exercise Clause"
First Amendment Rights,"Ten legal and religious historians filed a brief in Trinity Lutheran Church of Columbia v. Comer, a case that considered whether the First Amendment’s Free Exercise Clause permits churches to be excluded from a secular state aid program. The brief argues that the no-funding principle found in Article I, § 7 of the Missouri Constitution and other state laws “arose independently of anti-religious animus” and actually reflected goals of preventing state support of religion and ensuring the financial security of developing public school systems.","Trinity Lutheran Church of Columbia, Inc. v. Comer (2017)","Brief of Amici Curiae Legal and Religious Historians, in Support of Respondent","First Amendment, Free Exercise Clause, Religion"
First Amendment Rights,"Twenty-two historians and scholars of constitutional history and religious freedom filed a brief in American Legion v. American Humanist Association, a case that considered the constitutionality of a Maryland town’s display and maintenance of a Latin cross. The brief explains that the framers considered the new nation to be religiously pluralist and sought to ensure that government speech was universal and nonsectarian insofar as it referenced religion. The cross, the amici conclude, violated those commitments. In addition, they urge the Court to recognize that the Establishment Clause sought not only to prevent government coercion but also to avoid government action that could provoke animosity or division among people of different faiths.",American Legion v. American Humanist Association (2019),Brief for Historians and Legal Scholars as Amici Curiae Supporting Respondents,"First Amendment, Establishment Clause"
First Amendment Rights,"Five historians of American military history filed a brief in Little Sisters of the Poor Saints Peter and Paul Home v. Pennsylvania, a case that upheld the federal government’s authority to exempt employers with religious and moral objections from the Affordable Care Act’s requirement to provide contraceptive coverage to employees. The brief — like one filed in Zubik v. Burwell (2016) — argues that American law has long deployed accommodations to balance the religious liberty of some with the personal interests of others, and to balance both with “the important interests of the government.” As in the Zubik brief, the amici draw parallels between the accommodations at issue and historical conscientious objector laws that required people who objected to military service to pay money or provide alternative service to the country.",Little Sisters of the Poor Saints Peter and Paul Home v. Pennsylvania (2020),Brief of Military Historians as Amici Curiae in Support of Respondents,"Reproductive Rights, Affordable Care Act, Religious Freedom Restoration Act, Religion, Free Exercise Clause"
First Amendment Rights,"Thirteen legal historians filed a brief in Americans for Prosperity Foundation v. Bonta, which ruled that a California regulation requiring charitable organizations to disclose donors’ details to the state’s attorney general violated the First Amendment. The brief urges the Court to account for the specific historical circumstances that informed its defense of associational rights when, in NAACP v. Alabama (1958), it weighed how to balance donors’ privacy interests with the state’s interest in detecting fraud. As the amici explain, the “dire circumstances” that called for shielding the NAACP’s donors from disclosure in the 1950s — namely, government-sponsored public and private violence against Black people — were not in play in present-day California.",Americans for Prosperity Foundation v. Bonta (2021),Brief of Amici Curiae Legal Historians in Support of Respondent,"First Amendment, Freedom of Association"
First Amendment Rights,"Seven scholars of history, journalism, and the First Amendment’s Free Press Clause filed a brief in Moody v. NetChoice and NetChoice v. Paxton, two cases involving constitutional challenges to state laws attempting to regulate social media websites’ content moderation policies. The brief, which supports the websites’ claims to have First Amendment rights to editorial discretion, examines the history of printers and press freedom. The amici explain that social media sites’ discretion to determine what content to distribute today is analogous to the constitutionally protected discretion to publish enjoyed by printers, the press, and others during the founding era.","Moody v. NetChoice, LLC (2024); NetChoice, LLC v. Paxton (2024)",Brief of Amici Curiae Professors of History in Support of Respondents in No. 22-277 and Petitioners in No. 22-555,"First Amendment, Social Media, Free Speech Clause, Free Press Clause"
First Amendment Rights,"Eighteen scholars of the First Amendment filed a brief in Free Speech Coalition v. Paxton, a case that considered the constitutionality of a Texas law mandating age verification methods for pornography websites. The brief argues that laws restricting children’s access to pornography are consistent with the framers’ understanding of the First Amendment. The amici maintain that the framers were “not free-speech absolutists” and recognized the role of the state in barring access to obscene materials. Amicus Curiae Brief of Scholars in Support of Respondent","Free Speech Coalition, Inc. v. Paxton (2025)",,"First Amendment, Free Speech Clause"
First Amendment Rights,"Eighteen historians and legal scholars with expertise in constitutional history and the First Amendment filed a brief in Oklahoma Statewide Charter School Board v. Drummond, a case that considered, among other things, whether the Free Exercise Clause requires a state to provide financial support to religious schools when it also provides financial support to nongovernmental secular entities that operate schools. The brief argues that state and local governments are not required to provide public funding under the Free Exercise Clause. The amici present federal and state funding practices from the founding era through the early 19th century to demonstrate that “the free-exercise principle was not originally understood to include the right to public funding of religious schools.”",Oklahoma Statewide Charter School Board v. Drummond (2025),Brief of Historians and Legal Scholars as Amici Curiae in Support of Respondent,"First Amendment, Free Exercise Clause, Establishment Clause, Religion"
Administrative Law,"A scholar of American history and law filed a brief in Securities and Exchange Commission v. Jarkesy, which ruled that the Seventh Amendment entitles defendants to a jury trial when the Securities and Exchange Commission (SEC) seeks civil penalties. In supporting the constitutionality of the statutory provisions shielding the SEC’s administrative law judges from removal by the president, the brief explains that the original understanding of the president’s removal power was not unfettered. Rather, the amici argue, the history of pre-founding England and the early United States reveals that insulating executive officials (like the SEC’s judges) from removal was consistent with the understanding of executive power enshrined in the Constitution.",Securities and Exchange Commission v. Jarkesy (2024),Brief of Amicus Curiae Professor Jed H. Shugerman in Support of Petitioner,"Administrative Law, Democracy"
Administrative Law,"Six scholars of constitutional law and early American history filed a brief in Consumer Financial Protection Bureau v. Community Financial Services Association of America, a case that verified the constitutionality of the funding scheme that Congress established for the bureau. The brief, which supports the funding scheme, explains that the Constitution’s Appropriations Clause gives Congress alone the power to decide how federal agencies are funded. Drawing on the history of legislative appropriations beginning in England several centuries before the American Revolution and continuing through the 19th century, the amici conclude that Congress was exercising its constitutionally conferred authority when it designed the bureau’s funding mechanism.","Consumer Financial Protection Bureau v. Community Financial Services Association of America, Ltd. (2024)",Brief of Professors of History and Constitutional Law as Amici Curiae in Support of Petitioners,"Administrative Law, Appropriations Clause, Congressional Power, Federal Agencies, Independent Agencies"
Administrative Law,"Three legal historians filed a brief in Loper Bright Enterprises v. Raimondo and Relentless v. Department of Commerce, the cases in which the Supreme Court overturned Chevron deference. The brief, which supports Chevron’s constitutionality, describes a long history of federal courts deferring to federal agencies’ decision-making that began in the founding era and continued through the 20th century. It also shows that court deference to federal agencies’ legal interpretations is consistent with the founding generation’s understanding of the separation of powers.","Loper Bright Enterprises v. Raimondo (2024); Relentless, Inc. v. Department of Commerce (2024)","Brief of Amici Curiae Historians Gautham Rao, Richard R. John, and Jane Manners in Support of Respondents","Chevron Doctrine, Administrative Law, Democracy"
International Law,"The Supreme Court received multiple filings from historians in Kiobel v. Royal Dutch Petroleum, a case that considered whether, under the Alien Tort Statute (ATS), corporations are immune from liability for violating the laws of nations, and whether U.S. courts have authority to hear cases based on such violations committed outside the United States. The case was reargued, leading to a second round of amicus briefing. Nine legal historians filed a brief in support of corporate tort liability under the ATS for violations of international law. The brief argues that a corporate exemption from liability would be “inconsistent with the text, history, and purpose” of the ATS, which the First Congress designed to ensure remedies for just such violations. The amici examine tort suits against English and early American corporations to substantiate their claims. Eighteen scholars of international trials and Nuremberg era jurisprudence filed a brief in support of corporate liability under the ATS. The brief argues that Nuremberg era jurisprudence supports holding corporations accountable for violations of customary international law. In particular, the amici explain how the Allied Control Council sanctioned corporations outside the courts through measures like dissolution, asset seizure, and reparations. Six scholars with expertise in the Nuremberg trials and post–World War II legal practice filed a brief taking no position in the ultimate dispute and focusing instead on arguments raised by other amicus filings. The amici argue that the Nuremberg trials did not establish an “international norm of corporate criminal liability” that could support contemporary ATS claims. Among other things, the brief contends that no corporations were charged or served as defendants in the trials, and it explores the difficulties associated with drawing consistent legal principles from the conduct of the Allies toward German business corporations in the postwar period. Five legal historians with expertise in the ATS filed a brief to support corporate tort liability under the ATS for violations of international law. The brief argues that the original text, history, and purpose of the ATS show that it offers plaintiffs recourse to the federal courts to address violations of the law of nations, including torts committed by corporations. The amici explain, among other things, that Congress did not restrict the kinds of defendants that plaintiffs could sue, and that it used domestic common law principles to adjudicate claims against corporations for violating the law of nations. Two legal historians with expertise in the ATS filed a brief arguing that the federal courts have jurisdiction to rule on ATS claims for torts that violate international law, regardless of the citizenship of the defendants. The amici support their assertions through an examination of the text and drafting history of the ATS, early understandings of Article III of the Constitution, and 18th-century case law.",Kiobel v. Royal Dutch Petroleum Co. (2013),"Brief of Amici Curiae Professors of Legal History Barbara Aronstein Black, William R. Casto, Martin S. Flaherty, Robert W. Gordon, Nasser Hussain, Stanley N. Katz, Michael Lobban, John V. Orth, and Anne-Marie Slaughter in Support of Petitioners | Brief of Amici Curiae Nuremberg Scholars Omer Bartov, Michael J. Bazyler, Donald Bloxham, Lawrence Douglas, Hilary Earl, Hon. Bruce J. Einhorn, Ret., David Fraser, Sam Garkawe, Stanley A. Goldman, Gregory S. Gordon, Kevin Jon Heller, Michael J. Kelly, Matthew Lippman, Michael Marrus, Fionnuala D. Ní Aoláin, Kim Chistian Priemel, Christoph Safferling and Frederick Taylor in Support of Petitioners | Brief Amici Curiae of Nuremberg Historians and International Lawyers in Support of Neither Party | Brief of Amici Curiae Professors of Legal History William R. Casto, Martin S. Flaherty, Robert W. Gordon, Nasser Hussain, and John V. Orth in Support of Petitioners | Brief on Reargument of Professors of Legal History and Federal Jurisdiction, Martin S. Flaherty and John V. Orth, as Amici Curiae in Support of Petitioners","Corporate Law, Tort Law, International Law, Alien Tort Statute"
International Law,"Five legal historians with expertise in the Alien Tort Statute (ATS) filed a brief in Jesner v. Arab Bank, which ruled that the ATS does not allow lawsuits against corporations. The brief argues that the statute’s text, history, and purpose allow for corporate liability. The brief explains that the founders understood that “corporate liability . . . would be resolved based on common-law principles.” It also analyzes historical case law to demonstrate courts’ long-standing recognition of corporate liability for the torts of corporate agents — a practice that was evident in English courts’ handling of cases against corporations in the 18th century, and that continued into 19th-century America with the rise of modern corporations.","Jesner v. Arab Bank, PLC (2018)","Brief of Amici Curiae Professors of Legal History William R. Casto, Martin S. Flaherty, Stanley N. Katz, Samuel Moyn, and Anne-Marie Slaughter in Support of Petitioners","Corporate Law, Tort Law, International Law, Alien Tort Statute"
International Law,"Nine legal historians filed a brief in Nestlé USA v. Doe, a case that considered whether certain domestic corporations could be held liable under the Alien Tort Statute (ATS). The brief argues that recognizing tort liability for domestic corporations aligns with the statute’s history, text, and purpose. It presents records from the First Congress, the first Washington administration, and other founding era legal sources to establish that the ATS was passed and implemented to address “law of nations violations in situations that involved U.S. subjects or territory.”","Nestlé USA, Inc. v. Doe (2021)","Brief of Amici Curiae Professors of Legal History Barbara Aronstein Black, Nikolas Bowie, William R. Casto, Martin S. Flaherty, David Golove, Eliga H. Gould, Stanley N. Katz, Samuel Moyn, and Anne-Marie Slaughter in Support of Respondents","Corporate Law, Tort Law, International Law, Alien Tort Statute"
International Law,"Eight historians of the Holocaust and the Nuremberg trials filed a brief in Federal Republic of Germany v. Philipp, which ruled that the Foreign Sovereign Immunities Act’s expropriation exception incorporates the “domestic takings” rule, and that Germany did not violate international law when its Nazi government coerced German Jewish art dealers to sell a collection of medieval relics. The brief, filed in support of neither party to the case, sought to provide historical context necessary to understand how the Holocaust affected the treatment of German Jewish businesspeople in the period when the relics were sold. Among other things, the amici explain that the Nazis’ comprehensive persecution of Jewish people began with Hitler’s ascension to power in 1933. They also document how the Nazis targeted the social, political, and economic rights of Jewish people with restrictions on employment, education, marriage, and more through 1935.",Federal Republic of Germany v. Philipp (2021),Brief of Amici Curiae Holocaust and Nuremberg Historians in Support of Neither Party,Foreign Sovereign Immunities Act; International Law
Affirmative Action,"Eighteen historians and law professors who specialize in 19th-century U.S. history filed a brief in Students for Fair Admissions v. President and Fellows of Harvard College, a case that declared race-conscious college admissions policies unconstitutional. The brief, filed in defense of affirmative action, explains that the Reconstruction Congress designed the 14th Amendment to further racial equality, and that it in fact embraced a variety of race-conscious efforts to achieve that goal. Consequently, the amici argue, the 14th Amendment would not prohibit race-conscious admissions policies.","Students for Fair Admissions, Inc. v. President and Fellows of Harvard College (2023)",Brief of Professors of History and Law as Amici Curiae in Support of Respondents,"Affirmative Action, 14th Amendment, Equal Protection Clause"
Affirmative Action,"The Supreme Court received multiple filings from historians in Parents Involved in Community Schools v. Seattle School District No. 1, which ruled that several public school districts’ approaches to considering race in their student assignment processes violated the 14th Amendment’s Equal Protection Clause. Sixty historians of Reconstruction and the civil rights era filed a brief in support of the schools’ assignment policies. The brief argues that the school district’s policies align with the 14th Amendment’s original purpose and intent, as well as the amendment’s early implementation. The amici contend that the Reconstruction Amendments’ primary goal was to “incorporate[e] Blacks into the civic, economic, and political mainstream of American society”; they explain that race-conscious programs were established at the national and local levels to accomplish this goal. In particular, they emphasize that the Reconstruction Congress approved of and funded a series of race-conscious programs to integrate schools. Eight historians and legal scholars of the civil rights era also filed a brief in support of the schools’ assignment policies. The brief explores these policies as part of the nation’s historical attempts to overcome racial segregation in schools, reflecting the historical role of public schools as “engines of democracy and opportunity.” The amici also emphasize that these kinds of policies represent a democratic consensus achieved over time, and that such policies are “fully consistent with the Court’s education and school desegregation jurisprudence.” The brief explains that there is a long history and tradition of recognizing the autonomy of local schools and deferring to elected officials on matters of educational policy.",Parents Involved in Community Schools v. Seattle School District No. 1 (2007),"Brief of Historians as Amici Curiae in Support of Respondents | Brief of Historians of the Civil Rights Era William H. Chafe, Davison Douglas, Charles Payne, Tomiko Brown-Nagin, Kenneth Mack, Risa Goluboff, Kevin Kruse and Matt Lassiter as Amici Curiae Supporting Respondents","14th Amendment, Equal Protection Clause, Affirmative Action"
Affirmative Action,"Seventy-six historians and scholars of the Civil War, Reconstruction, and race and the law filed a brief in Schuette v. Coalition to Defend Affirmative Action, a case that considered the constitutionality of a state constitutional amendment prohibiting race- and sex-based discrimination and preferential treatment in public university admissions. The brief argues that the framers drafted the 14th Amendment to remove special burdens on racial minorities’ ability to seek legislative change. The amici explain that after the Civil War, formerly enslaved Black men and women could not seek legislative change to address continued systemic racial exclusion and violence. The brief also positions both the 14th Amendment and the Civil Rights Act of 1866 as conscious products of a concerted effort to remedy this state of affairs.",Schuette v. Coalition to Defend Affirmative Action (2014),Brief of Paul Finkelman and 75 Other Historians and Scholars as Amici Curiae in Support of Respondents,"14th Amendment, Equal Protection Clause, Affirmative Action"
Executive Power,"The Supreme Court received multiple filings from historians in Hamdan v. Rumsfeld, a case that considered the legality of a special military commission established by the executive branch to try enemy combatants during the war on terror. Three legal historians filed a brief challenging the contention that executive military commissions historically had tried enemy combatants under procedures set solely by the president. The brief looks to the Barbary Wars, an early 19th-century pair of wars that the United States fought with several North African states, to demonstrate that the founding generation followed “recognized international law and custom” in dealing with “unconventional enemies.” Among other things, the amici explain that these customs included “extraordinary deference to standard military detention and adjudication procedures.” Three historians and legal scholars filed a brief challenging the government’s reliance on Ex Parte Quirin (1942) to justify ordering trials by military commission. The brief draws on the historical circumstances surrounding Quirin to condemn it as “an illegitimate precedent that offends this nation’s modern sense of justice.” To support their claim, the amici point, among other things, to judicial bias and conflicts of interest among the Supreme Court justices who issued the ruling. Eight historians of the founding era and early American military history filed a brief opposing the commission and responding to the argument that the founders held an expansive view of executive power that granted the president unilateral power and significant discretion in dealing with military and diplomatic affairs. The brief argues that the founding generation instead sought legislative supervision and control of the executive, in keeping with a deeper Anglo-American rejection of monarchical ideas of executive prerogative. In light of this understanding, the amici assert, the framers divided the powers relating to military and foreign affairs between the president and Congress. Eight scholars of military history and law filed a brief contesting the legality of the commission. The brief argues that the president’s power to create procedures for military commissions are limited by, among other things, the historical understanding of military commissions as invoked in Article 36 of the Uniform Code of Military Justice. To support their assertions, the amici examine the code’s legislative history, beginning with the 1916 Revised Articles of War and subsequent revisions, as well as the history of military commissions prior during the Mexican War, the Civil War, and the military occupation of the Philippines.",Hamdan v. Rumsfeld (2006),"Brief of Lawrence M. Friedman, Jonathan Lurie, and Alfred P. Rubin as Amici Curiae in Support of Petitioner [Barbary Wars Precedent] | Brief of Legal Scholars and Historians as Amici Curiae in Support of Petitioner | Brief of Amici Curiae Jack N. Rakove, Fred Anderson, Caroline Cox, R. Don Higginbotham, Charles A. Lofgren, Robert L. Middlekauf, Lois G. Schwoerer, and John Shy in Support of Petitioner | Brief of Military Law Historians, Scholars, and Practitioners (Military Commissions and the Articles of War)","Executive Power, Foreign Affairs, Military"
Executive Power,"Twenty-one scholars of American religious history law filed a brief in Trump v. Hawaii, a case that considered the legality of an executive order suspending the entry of foreign nationals into the United States. The brief, filed in support of neither party to the case, focuses on the history of religious discrimination against Mormon immigrants to alert the Court to the importance of strict judicial scrutiny of laws motivated by fears of religious minorities.",Trump v. Hawaii (2018),Brief of Scholars of Mormon History and Law as Amici Curiae in Support of Neither Party,"Executive Power, Immigration, Religious Discrimination, First Amendment, Establishment Clause"
Executive Power,"Fifteen historians of the founding era filed a brief in Trump v. United States, a case that granted broad new immunities from criminal prosecution to presidents for acts committed while in office. In urging the Court to reject such immunities, the brief explains that presidential immunity contradicts the founding generation’s rejection of monarchical privilege and concerns about abuses of executive power. The amici also argue that attempts by presidents to overturn the results of elections they lost constitute fundamental crimes against the democratic order.",Trump v. United States (2024),Brief of Amici Curiae Scholars of the Founding Era in Support of Respondent,"Presidential Immunity, Executive Power, Democracy"
