section,entity,year,description_html,source,tags
Federal Indian Law,Oklahoma v. Castro-Huerta,2022,"Three scholars of federal Indian law and history filed a <a href=""https://www.brennancenter.org/media/13965/download/oklahoma-v-castro-huerta-federal-indian-law-scholars-and-historians.pdf?inline=1"" target=""blank"">brief</a> in Oklahoma v. Castro-Huerta, a case that considered whether both states and the federal government have the power to prosecute non-Native American individuals for crimes they commit against Native people on Native land. The brief argues that only the federal government can prosecute crimes of this type, in keeping with more than 200 years of law and practice. The amici trace this principle from the Constitution through 21st-century congressional legislation. The brief emphasizes that any state jurisdiction over crimes by or against Native people on Native land &quot;is a matter of federal legislative grace.&quot;","<a href=""https://www.brennancenter.org/media/13965/download/oklahoma-v-castro-huerta-federal-indian-law-scholars-and-historians.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Federal Indian Law Scholars and Historians in Support of Respondent</a>",Federal Indian Law
Federal Indian Law,Arizona v. Navajo Nation,2023,"Five scholars who specialize in the history of relations between Native American nations and the United States filed a <a href=""https://www.brennancenter.org/media/13969/download/arizona-v-navajo-brief-of-historians_0.pdf?inline=1"" target=""blank"">brief</a> in Arizona v. Navajo Nation, which ruled that the federal government's failure to assert Colorado River water rights for the Navajo Tribe did not violate the government's legal duties to the tribe. The brief argues that the federal government failed to fulfill the trust doctrine, a legal mandate that has defined the federal government's relationships with Native nations throughout the country's history. Among other things, the amici describe how Congress and the executive branch have bound themselves since the founding era to protect and care for Native American nations, including by ensuring that they have adequate water for their homelands.","<a href=""https://www.brennancenter.org/media/13969/download/arizona-v-navajo-brief-of-historians_0.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Historians in Support of Respondents</a>",Federal Indian Law
Federal Indian Law,Haaland v. Brackeen,2023,"The Supreme Court received multiple filings from historians in Haaland v. Brackeen, a case that upheld the constitutionality of the Indian Child Welfare Act of 1978 (ICWA).<br><br>The American Historical Association and the Organization of American Historians filed a <a href=""https://www.brennancenter.org/media/13972/download/haaland-v-brackeen-aha-and-oah.pdf?inline=1"" target=""blank"">brief</a> in support of ICWA's constitutionality. The amici situate ICWA in a history and tradition of federal regulation of Native children and families dating back to the founding era and stretching into the 20th century, arguing that, in that respect, the statute falls within Congress's constitutional powers. The brief further shows how ICWA sought to correct failed federal policies - including those that encouraged state governments to separate large numbers of Native children from their families and their nations - by strengthening tribal jurisdiction and establishing protections against future abuses by the states.<br><br><a href=""https://www.brennancenter.org/media/13972/download/haaland-v-brackeen-aha-and-oah.pdf?inline=1"" target=""blank"">Brief of Amici Curiae American Historical Association and Organization of American Historians in Support of Federal and Tribal Parties</a><br><br>A legal scholar and historian of federal Indian law also filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-09/haaland-v-brackeen-gregory-ablavsky.pdf"" target=""blank"">brief</a> supporting ICWA's constitutionality. The brief looks to the Constitution's text and to early American history and practice to demonstrate the constitutionality of Congress's attempts to regulate Native American affairs, especially on matters of child welfare. The amicus also challenges narrower accounts of federal power over Native affairs, showing how those accounts resemble arguments lodged by state advocates and rejected by courts over the course of several centuries.","<a href=""https://www.brennancenter.org/sites/default/files/2025-09/haaland-v-brackeen-gregory-ablavsky.pdf"" target=""blank"">Brief of Amicus Curiae Professor Gregory Ablavsky in Support of Federal Parties and Tribal Defendants </a>","Federal Indian Law, Indian Child Welfare Act"
Federal Indian Law,District of Columbia v. Heller,2008,"The Supreme Court received multiple filings from historians in District of Columbia v. Heller, which ruled that the Second Amendment guarantees an individual right to bear arms for the purpose of self-defense.<br><br>Fifteen historians of the founding era and early American legal history filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-04/dc-v-heller-rakove-cornell-et-al.pdf"" target=""blank"">brief</a> explaining that the framers did not enshrine a personal right to bear arms in the Second Amendment. The brief explores the amendment's original meaning through a contextual analysis of British law and founding era constitutional debates. The amici show, among other things, that the question of an individual right to bear arms &quot;never crossed the threshold of constitutional significance in 1787-1789.&quot; Instead, they argue, Second Amendment debates centered on the role of militias - thus making the amendment's preamble critical to understanding the content of its guarantees.<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-04/dc-v-heller-rakove-cornell-et-al.pdf"" target=""blank"">Brief of Amici Curiae Jack N. Rakove, Saul Cornell, David T. Konig, William J. Novak, Lois G. Schwoerer et al. in Support of Petitioners</a><br><br>The CATO Institute and a historian of Anglo-American legal history filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-04/dc-v-heller-malcolm.pdf"" target=""blank"">brief</a> arguing that English common law granted an individual right to bear arms, especially for self-defense, and that the Second Amendment constitutionalized that right. When translated into the American legal context, the amici contend, the right broadened to recognize the importance of facilitating citizen militias, but it remained at its core a personal right for the purposes of defending one's home and family.","<a href=""https://www.brennancenter.org/sites/default/files/2025-04/dc-v-heller-malcolm.pdf"" target=""blank"">Brief of the CATO Institute and History Professor Joyce Lee Malcolm as Amici Curiae in Support of Respondent</a>","Firearms Law, Second Amendment"
Federal Indian Law,McDonald v. City of Chicago,2010,"The Supreme Court received multiple filings from historians in McDonald v. City of Chicago, which held that the individual right to bear arms for self-defense is applicable to the states and municipalities under the 14th Amendment's Due Process Clause.<br><br>Thirty-four historians with expertise in the law, constitutional history, the Second Amendment, and the Reconstruction Amendments filed a <a href=""https://www.brennancenter.org/media/14284/download/mcdonald-v-city-of-chicago-34-professional-historians.pdf?inline=1"" target=""blank"">brief</a> in support of the local firearms ordinances at issue in the case. The brief argues that states' and municipalities' powers to regulate firearms are part of a history and tradition of regulation dating to the antebellum period. The amici demonstrate that after the 14th Amendment was ratified, states continued to enact &quot;reasonable non-discriminatory safety regulations, including regulations banning classes of dangerous weapons.&quot;<br><br><a href=""https://www.brennancenter.org/media/14284/download/mcdonald-v-city-of-chicago-34-professional-historians.pdf?inline=1"" target=""blank"">Brief of Thirty-Four Professional Historians and Legal Historians as Amici Curiae in Support of Respondents</a><br><br>Four historians of early American legal and constitutional history and Pennsylvania history filed a <a href=""https://www.brennancenter.org/media/14295/download/mcdonald-v-city-of-chicago-historians-on-early-american.pdf?inline=1"" target=""blank"">brief</a> in support of the constitutionality of the ordinances. The brief argues that the right to keep and bear arms for militia purposes was the &quot;dominant&quot; motivation for the Second Amendment, and, in turn, that any &quot;right of individual self-defense&quot; recognized at the time of the framing &quot;provided no motivation&quot; for the Second Amendment's adoption.<br><br><a href=""https://www.brennancenter.org/media/14295/download/mcdonald-v-city-of-chicago-historians-on-early-american.pdf?inline=1"" target=""blank"">Brief of Historians on Early American Legal, Constitutional and Pennsylvania History as Amici Curiae in Support of Respondent City of Chicago</a><br><br>Six historians and legal scholars of the 14th Amendment filed a <a href=""https://www.brennancenter.org/media/14291/download/mcdonald-v-city-of-chicago-historians-and-legal-scholars.pdf?inline=1"" target=""blank"">brief</a> to challenge the incorporation of the entirety of the Bill of Rights - including the Second Amendment - against the states. The brief argues that incorporation of this kind would upend 135 years of precedent and the distribution of powers between state and federal governments. The amici further contend that neither the 14th Amendment's plain text, nor its legislative intent or original public meaning, support the incorporation of the Bill of Rights in total - or the Second Amendment alone - against the states.<br><br><a href=""https://www.brennancenter.org/media/14291/download/mcdonald-v-city-of-chicago-historians-and-legal-scholars.pdf?inline=1"" target=""blank"">Brief of Historians and Legal Scholars as Amici Curiae in Support of Respondent City of Chicago, et al.</a><br><br>Twenty-one historians of English and early American history filed a <a href=""https://www.brennancenter.org/media/14288/download/mcdonald-v-city-of-chicago-english-early-american-historians.pdf?inline=1"" target=""blank"">brief</a> in support of the local ordinances. The brief asked the Court to reconsider its prior factual findings in District of Columbia v. Heller (2008), arguing that an individual's right to bear arms for that individual's &quot;self-defense&quot; was not &quot;deeply rooted in our nation's traditions.&quot; The amici explain that the right to &quot;have arms&quot; found in the English Declaration of Rights - which formed the basis of the Second Amendment right - &quot;referred to a right to possess arms in defense of the realm.&quot; The brief further explains that the founders shared this understanding, and that the Second Amendment was drafted to reflect as much.","<a href=""https://www.brennancenter.org/media/14288/download/mcdonald-v-city-of-chicago-english-early-american-historians.pdf?inline=1"" target=""blank"">Brief for English/Early American Historians as Amici Curiae in Support of Respondents</a>","Due Process Clause, Firearms Law, 14th Amendment, Second Amendment"
Federal Indian Law,New York State Rifle & Pistol Association v. Bruen,2022,"The Supreme Court received multiple filings from historians in New York State Rifle &amp; Pistol Association v. Bruen, which declared that a New York state law governing licenses for the concealed carry of firearms violated the Second Amendment.<br><br>Seventeen professors of history and law filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-01/nys-rifle-pistol-v-bruen-professors-of-history-and-law.pdf"" target=""blank"">brief</a> in support of the New York law. The brief emphasizes that both English and American law had, for centuries, restricted the public carry of dangerous weapons to ensure order and peace, as well as sanctioned discretionary licensing regimes. To substantiate that point, the amici survey English and American legal sources from the 13th century through the 20th.<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-01/nys-rifle-pistol-v-bruen-professors-of-history-and-law.pdf"" target=""blank"">Brief for Amici Curiae Professors of History and Law in Support of Respondents</a><br><br>Four experts in the fields of linguistics, law, and legal history filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-01/nys-rifle-pistol-v-bruen-corpus-linguistics-professors.pdf"" target=""blank"">brief</a> in support of the New York law. The brief uses a corpus linguistics approach to analyze the meaning of the Second Amendment to founding era voters. According to the amici, this approach suggests that ordinary citizens understood that the Second Amendment's reference to a right to &quot;keep and bear arms&quot; had &quot;a collective, militaristic meaning at the Founding,&quot; and that the government could regulate that right. The brief emphasizes that advances in corpus linguistics provide judges and lawyers with access to substantially more historical material than was available at the time the Supreme Court decided District of Columbia v. Heller (2008) and McDonald v. City of Chicago (2010).","<a href=""https://www.brennancenter.org/sites/default/files/2025-01/nys-rifle-pistol-v-bruen-corpus-linguistics-professors.pdf"" target=""blank"">Brief for Corpus Linguistics Professors and Experts as Amici Curiae Supporting Respondents</a>","Firearms Law, Second Amendment"
Federal Indian Law,United States v. Rahimi,2024,"Eighteen historians and scholars of English and American history and law filed a <a href=""https://www.brennancenter.org/sites/default/files/2024-06/us-v-rahimi-professors-of-history-and-law.pdf"" target=""blank"">brief</a> in United States v. Rahimi, a case that upheld a federal law barring individuals under domestic violence restraining orders from possessing firearms. The brief, which supports the law's constitutionality, documents the long-standing history and tradition of restricting &quot;dangerous&quot; individuals from possessing firearms, beginning with English common law and stretching into the 20th century. It also explains how domestic violence was regulated &quot;to protect the public peace&quot; during the founding era. To support their case, the amici draw on published primary and secondary scholarship as well as unpublished primary sources that provide insight into English common law and founding era local customs.","<a href=""https://www.brennancenter.org/sites/default/files/2024-06/us-v-rahimi-professors-of-history-and-law.pdf"" target=""blank"">Brief for Amici Curiae Professors of History and Law in Support of Petitioner</a>","Firearms Law, Second Amendment"
Federal Indian Law,United States v. Hemani,2026,"Seven history and law professors with expertise in the history of firearms regulation and founding era constitutionalism filed a <a href=""https://www.brennancenter.org/media/14899/download/20251219173435386_us-v-hemani-brief-for-amici-curiae-history-and-law-professors-in-support-of-petitioner.pdf?inline=1"" target=""blank"">brief</a> in United States v. Hemani, a case that considered the constitutionality of a federal statute prohibiting any individual who &quot;is an unlawful user of or addicted to any controlled substance&quot; from possessing a firearm. The brief, filed in support of the statute's legality, argues that it conforms with a long national history and tradition of restricting firearm access for people who threaten public safety, including laws restricting firearm possession for alcohol users, people with mental illnesses, minors, and those perceived as a threat to others. In addition, the brief explains that while drug use was not common in early America, legislatures began to restrict the sale of firearms to drug addicts as drug use increased after the Civil War, designing such restrictions in ways closely analogous to restrictions for other threatening behavior.","<a href=""https://www.brennancenter.org/media/14899/download/20251219173435386_us-v-hemani-brief-for-amici-curiae-history-and-law-professors-in-support-of-petitioner.pdf?inline=1"" target=""blank"">Brief for Amici Curiae History and Law Professors in Support of Petitioner</a>","Firearms Law, Second Amendment"
First Amendment Rights,Locke v. Davey,2004,"The Supreme Court received multiple filings from historians in Locke v. Davey, which ruled that the state of Washington did not violate the First Amendment's Free Exercise Clause by prohibiting funding for devotional theology instruction.<br><br>Twenty-four historians and legal scholars of religion and the First Amendment filed a <a href=""https://www.brennancenter.org/sites/default/files/2026-03/locke-v-davey-historians-and-law-scholars.pdf"" target=""blank"">brief</a> supporting the state. The brief challenges the argument that the Washington Constitution's ban on funding reflected anti-Catholic or nativist sentiment. Instead, the amici explain, the state constitution's no-funding principle was based on &quot;principles of religious liberty and rights of conscience&quot; and resembles provisions incorporated into many other state constitutions over the course of the 19th century &quot;for reasons unrelated to anti-Catholic animus.&quot;<br><br><a href=""https://www.brennancenter.org/sites/default/files/2026-03/locke-v-davey-historians-and-law-scholars.pdf"" target=""blank"">Brief Amicus Curiae of Historians and Law Scholars on Behalf of Petitioners Gary Locke, et al.</a><br><br>The Becket Fund for Religious Liberty, the Catholic League for Religious and Civil Rights, and 18 religious historians and legal scholars filed a <a href=""https://www.brennancenter.org/media/14094/download/locke-v-davey-becket-fund-for-religious-liberty-historians-legal-scholars-et-al.pdf?inline=1"" target=""blank"">brief</a> supporting state funding for religious instruction. Situating the Washington Constitution in a broader trend of 19th-century federal and state laws and policies designed to disfavor Catholic schools in particular, the brief argues that Washington's no-funding rule is rooted in nativism and hostility toward European immigrants and their religions.","<a href=""https://www.brennancenter.org/media/14094/download/locke-v-davey-becket-fund-for-religious-liberty-historians-legal-scholars-et-al.pdf?inline=1"" target=""blank"">Brief of Amici Curiae The Becket Fund for Religious Liberty, The Catholic League for Religious and Civil Rights, and Historians and Legal Scholars in Support of Respondent</a>","First Amendment, Free Exercise Clause, Religion"
First Amendment Rights,Burwell v. Hobby Lobby Stores.,2014,"Nine historians and scholars of American history filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/burwell-v-hobby-lobby-stores-historians-and-legal-scholars.pdf"" target=""blank"">brief</a> in Burwell v. Hobby Lobby Stores, which ruled that federal regulations requiring for-profit employers with religious objections to provide their employees with health insurance coverage for contraception violated the Religious Freedom Restoration Act. The brief, in support of neither party to the case, explores the history of corporate treatment under the law and argues that the law has not historically granted for-profit businesses the same liberty interests that &quot;natural persons&quot; enjoy.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/burwell-v-hobby-lobby-stores-historians-and-legal-scholars.pdf"" target=""blank"">Brief of Amici Curiae Historians and Legal Scholars Supporting Neither Party</a>","Affordable Care Act, First Amendment, Free Exercise Clause, Religion, Religious Freedom Restoration Act, Reproductive Rights"
First Amendment Rights,Town of Greece v. Galloway,2014,"Forty legal historians and scholars of religion and law filed a <a href=""https://www.brennancenter.org/media/14042/download/town-of-greece-v-galloway-paul-finkelman-et-al.pdf?inline=1"" target=""blank"">brief</a> in Town of Greece v. Galloway, which held that a town's practice of opening legislative meetings with a prayer does not violate the First Amendment's Establishment Clause. In opposing the town's practice, the brief explains that the framers were particularly concerned about religious language in political discourse that could divide rather than unite; that they believed that religious language in public life should be &quot;universal and non-sectarian&quot;; and that they were averse to coerced religious observation. The amici conclude that because this town's prayer exerted substantial pressure on citizens looking to participate in town politics, the framers would not have supported it.","<a href=""https://www.brennancenter.org/media/14042/download/town-of-greece-v-galloway-paul-finkelman-et-al.pdf?inline=1"" target=""blank"">Brief for Paul Finkelman, Steven K. Green, Michael I. Meyerson, John A. Ragosta, and 36 Other Legal Historians and Scholars of Religion and American Law as Amici Curiae in Support of Respondents</a>","Establishment Clause, First Amendment, Religion"
First Amendment Rights,Zubik v. Burwell,2016,"Seven military historians filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/zubik-v-burwell-military-historians.pdf"" target=""blank"">brief</a> in Zubik v. Burwell, a case that challenged accommodations allowing employers with religious objections to opt out of providing contraceptive coverage to their employees, and to pass that cost on to the government or medical insurance companies. The brief argues that American law has long deployed accommodations like those in question to balance the religious liberty of some with the personal interests of others, and to balance both with &quot;the important interests of the government.&quot; The amici draw parallels between the accommodations at issue and historical conscientious objector laws that required people who objected to military service to pay money or provide alternative service to the country.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/zubik-v-burwell-military-historians.pdf"" target=""blank"">Brief of Military Historians as Amici Curiae in Support of Respondents</a>","Affordable Care Act, First Amendment, Free Exercise Clause, Religion, Religious Freedom Restoration Act, Reproductive Rights"
First Amendment Rights,Trinity Lutheran Church of Columbia v. Comer,2017,"Ten legal and religious historians filed a <a href=""https://www.brennancenter.org/media/14314/download/trinity-lutheran-church-v-pauley-legal-and-religious-historians.pdf?inline=1"" target=""blank"">brief</a> in Trinity Lutheran Church of Columbia v. Comer, a case that considered whether the First Amendment's Free Exercise Clause permits churches to be excluded from a secular state aid program. The brief argues that the no-funding principle found in the Missouri Constitution and other state laws &quot;arose independently of anti-religious animus&quot; and reflected goals of preventing state support of religion and ensuring the financial security of developing public school systems.","<a href=""https://www.brennancenter.org/media/14314/download/trinity-lutheran-church-v-pauley-legal-and-religious-historians.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Legal and Religious Historians, in Support of Respondent</a>","First Amendment, Free Exercise Clause, Religion"
First Amendment Rights,American Legion v. American Humanist Association,2019,"Twenty-two historians and scholars of constitutional history and religious freedom filed a <a href=""https://www.brennancenter.org/media/14046/download/american-legion-v-american-humanist-association-historians-and-legal-scholars.pdf?inline=1"" target=""blank"">brief</a> in American Legion v. American Humanist Association, a case that considered the constitutionality of a Maryland town's display and maintenance of a Latin cross. The brief explains that the framers considered the new nation to be religiously pluralist and sought to ensure that government speech was universal and nonsectarian insofar as it referenced religion. The cross, the amici conclude, violated those commitments. In addition, they urge the Court to recognize that the Establishment Clause sought not only to prevent government coercion but also to avoid government action that could provoke animosity or division among people of different faiths.","<a href=""https://www.brennancenter.org/media/14046/download/american-legion-v-american-humanist-association-historians-and-legal-scholars.pdf?inline=1"" target=""blank"">Brief for Historians and Legal Scholars as Amici Curiae Supporting Respondents</a>","Establishment Clause, First Amendment, Religion"
First Amendment Rights,Little Sisters of the Poor Saints Peter and Paul Home v. Pennsylvania,2020,"Five historians of American military history filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/little-sisters-v-penn-military-historians-brief.pdf"" target=""blank"">brief </a>in Little Sisters of the Poor Saints Peter and Paul Home v. Pennsylvania, a case that upheld the federal government's authority to exempt employers with religious and moral objections from the Affordable Care Act's requirement to provide contraceptive coverage to employees. The brief - like one filed in <a href=""https://www.brennancenter.org/sites/default/files/2025-03/zubik-v-burwell-military-historians.pdf"" target=""blank"">Zubik v. Burwell</a> (2016) - argues that American law has long deployed accommodations to balance the religious liberty of some with the personal interests of others, and to balance both with &quot;the important interests of the government.&quot; As in the Zubik brief, the amici draw parallels between the accommodations at issue and historical conscientious objector laws that required people who objected to military service to pay money or provide alternative service to the country.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/little-sisters-v-penn-military-historians-brief.pdf"" target=""blank"">Brief of Military Historians as Amici Curiae in Support of Respondents</a>","Affordable Care Act, First Amendment, Free Exercise Clause, Religion, Religious Freedom Restoration Act, Reproductive Rights"
First Amendment Rights,Americans for Prosperity Foundation v. Bonta,2021,"Thirteen legal historians filed a <a href=""https://www.brennancenter.org/media/14088/download/apf-v-bonta-legal-historians_0.pdf?inline=1"" target=""blank"">brief</a> in Americans for Prosperity Foundation v. Bonta, which ruled that a California regulation requiring charitable organizations to disclose donors' details to the state's attorney general violated the First Amendment. The brief urges the Court to account for the specific historical circumstances that informed its defense of associational rights when, in NAACP v. Alabama (1958), it considered how to balance donors' privacy interests with the state's interest in detecting fraud. As the amici explain, the &quot;dire circumstances&quot; that called for shielding the NAACP's donors from disclosure in the 1950s - namely, government-sponsored public and private violence against Black people - were not in play in present-day California.","<a href=""https://www.brennancenter.org/media/14088/download/apf-v-bonta-legal-historians_0.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Legal Historians in Support of Respondent</a>","First Amendment, Free Association Clause"
First Amendment Rights,Moody v. NetChoice (2024); NetChoice v. Paxton,2024,"Seven scholars of history, journalism, and the First Amendment's Free Press Clause filed a <a href=""https://www.brennancenter.org/sites/default/files/2024-06/moody-v-netchoice-moody-v-paxton-professors-of-history_0.pdf"" target=""blank"">brief</a> in Moody v. NetChoice and NetChoice v. Paxton, two cases involving constitutional challenges to state laws attempting to regulate social media websites' content moderation policies. The brief, which supports the websites' claims to have First Amendment rights to editorial discretion, examines the history of printers and press freedom. The amici explain that social media sites' discretion to determine what content to distribute today is analogous to the constitutionally protected discretion to publish enjoyed by printers, the press, and others during the founding era.","<a href=""https://www.brennancenter.org/sites/default/files/2024-06/moody-v-netchoice-moody-v-paxton-professors-of-history_0.pdf"" target=""blank"">Brief of Amici Curiae Professors of History in Support of Respondents in No. 22-277 and Petitioners in No. 22-555</a>","First Amendment, Free Press Clause, Free Speech Clause, Social Media"
First Amendment Rights,Free Speech Coalition v. Paxton,2025,"Eighteen scholars of the First Amendment filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-08/free-speech-coalition-v-paxton-brief-of-scholars.pdf"" target=""blank"">brief</a> in Free Speech Coalition v. Paxton, a case that considered the constitutionality of a Texas law mandating age verification methods for pornography websites. The brief argues that laws restricting children's access to pornography are consistent with the framers' understanding of the First Amendment. The amici explain that the framers were &quot;not free-speech absolutists&quot; and recognized the role of the state in barring access to obscene materials.","<a href=""https://www.brennancenter.org/sites/default/files/2025-08/free-speech-coalition-v-paxton-brief-of-scholars.pdf"" target=""blank"">Amicus Curiae Brief of Scholars in Support of Respondent</a>","First Amendment, Free Speech Clause"
First Amendment Rights,Oklahoma Statewide Charter School Board v. Drummond,2025,"Eighteen historians and legal scholars with expertise in constitutional history and the First Amendment filed a <a href=""https://www.brennancenter.org/media/14316/download/oklahoma-statewide-charter-school-board-v-drummond-historians-brief.pdf?inline=1"" target=""blank"">brief</a> in Oklahoma Statewide Charter School Board v. Drummond, a case that considered, among other things, whether the Free Exercise Clause requires a state to provide financial support to religious schools when it also provides financial support to nongovernmental secular entities that operate schools. The brief argues that state and local governments are not required to provide public funding under the Free Exercise Clause. The amici present federal and state funding practices from the founding era through the early 19th century to demonstrate that &quot;the free-exercise principle was not originally understood to include the right to public funding of religious schools.&quot;","<a href=""https://www.brennancenter.org/media/14316/download/oklahoma-statewide-charter-school-board-v-drummond-historians-brief.pdf?inline=1"" target=""blank"">Brief of Historians and Legal Scholars as Amici Curiae in Support of Respondent</a>","Establishment Clause, First Amendment, Free Exercise Clause, Religion"
First Amendment Rights,Chiles v. Salazar,2026,"Eight scholars and historians of medicine filed a <a href=""https://www.brennancenter.org/sites/default/files/2026-01/chiles-v-salazar-medical-history-scholars-and-historians.pdf"" target=""blank"">brief</a> in Chiles v. Salazar, a case that considered whether a Colorado law prohibiting conversion therapy for minors violated the First Amendment's Free Speech Clause. The brief argues that the law is consistent with a tradition of states regulating the practice of medical professionals that dates to the colonial era. The brief explains that regulations have evolved with scientific developments and, in the case of mental health treatment, with new models of providing therapy; these regulations, in turn, have &quot;historically made no distinction between speech and conduct,&quot; especially given the central role of speech in psychotherapy.","<a href=""https://www.brennancenter.org/sites/default/files/2026-01/chiles-v-salazar-medical-history-scholars-and-historians.pdf"" target=""blank"">Amici Curiae Brief on Behalf of Medical History Scholars and Historians in Support of Respondents</a>","Conversion Therapy, First Amendment, Free Speech Clause, LGBTQ+ Rights"
Habeas Corpus,Williams v. Taylor,2000,"Four constitutional law and history professors filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/williams-v-taylor-brief-of-professors.pdf"" target=""blank"">brief</a> in Williams v. Taylor, a case that considered, among other things, whether a state court's refusal to set aside a criminal defendant's death sentence was contrary to federal law or rested on an unreasonable application of it. Writing in support of the defendant, the amici argue that the Supreme Court should not defer to the state court's interpretation of federal law in deciding whether the defendant was eligible for relief under the Antiterrorism and Effective Death Penalty Act of 1996. The brief explains that such deference would undermine the framers' intent in drafting Article III of the Constitution: to empower the federal judiciary to ensure that state courts faithfully follow federal law.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/williams-v-taylor-brief-of-professors.pdf"" target=""blank"">Motion for Leave to File Brief Amici Curiae and Brief Amici Curiae of Professors Lance G. Banning, Jack N. Rakove, William W. Van Alstyne, and Gordon G. Young in Support of Petitioner</a>","Antiterrorism and Effective Death Penalty Act, Article III, Habeas Corpus"
Habeas Corpus,Immigration and Naturalization Service v. St. Cyr,2001,"Twenty-one legal historians with expertise in English legal history and the founding era filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/ins-v-st-cyr-legal-historians.pdf"" target=""blank"">brief</a> in Immigration and Naturalization Service v. St. Cyr, a case that upheld, among other things, a deportable noncitizen's right to habeas corpus in the face of amendments to the Immigration and Nationality Act of 1952. The brief looks to both English common law and early American law to demonstrate that habeas corpus has traditionally been available to citizens and noncitizens alike to challenge their unlawful civil or criminal confinement at the hands of the government. According to the amici, these overlapping histories further demonstrate that habeas is a proper vehicle for resolving challenges that hinge on matters of statutory interpretation.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/ins-v-st-cyr-legal-historians.pdf"" target=""blank"">Brief Amici Curiae of Legal Historians Listed Herein in Support of Respondent</a>","Habeas Corpus, Immigration, Immigration and Nationality Act"
Habeas Corpus,Rasul v. Bush,2004,"Twenty-four legal historians with expertise in English common law and early American legal history filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/rasul-v-bush-legal-historians.pdf"" target=""blank"">brief</a> in Rasul v. Bush, which ruled that people detained at Guantánamo Bay have a right to habeas corpus and can challenge their detentions as unconstitutional. Written to support the availability of habeas to the detainees, the brief shows that the common law writ of habeas corpus was available throughout the territories of the British Empire - even to alleged &quot;enemy aliens&quot; - in the years leading up to the Constitutional Convention. The amici explain that the framers incorporated these common law concepts into the Constitution's Suspension Clause, and that early American courts routinely upheld them.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/rasul-v-bush-legal-historians.pdf"" target=""blank"">Brief Amici Curiae of Legal Historians Listed Herein in Support of the Petitioners</a>","Habeas Corpus, Suspension Clause"
Habeas Corpus,Boumediene v. Bush; Al Odah v. United States,2008,"The Supreme Court received filings from historians in two cases - Boumediene v. Bush and Al Odah v. United States - that ruled the Military Commissions Act of 2006 unconstitutional and upheld Guantánamo Bay detainees' right to habeas corpus.<br><br>Twenty-five historians with expertise in English common law and early American legal history filed a brief in support of the detainees. The brief reviews the common law history to demonstrate that the writ of habeas corpus was available to detainees regardless of their nationality; that it applied regardless of the &quot;formal sovereign status&quot; of the territory where the detainees were being held; and that it required courts to rigorously and independently review the facts to ensure that detentions were not illegal.<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-03/boumediene-v-bush-legal-historians_0.pdf"" target=""blank"">Brief of Legal Historians as Amici Curiae in Support of Petitioners</a><br><br>Seventeen historians and scholars of the Constitution also filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/al-odah-v-us-boumediene-v-bush-constitution-and-history-of-government-scholars.pdf"" target=""blank"">brief</a> in support of the detainees. The brief explains that the framers recognized habeas corpus as a crucial bulwark against unlawful government conduct, including abusive legislation. The amici argue that the framers intended the habeas guarantee to be judicially enforceable and subject to override by Congress, except in highly limited circumstances. And they point to a long tradition of Supreme Court case law consistent with this understanding.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/al-odah-v-us-boumediene-v-bush-constitution-and-history-of-government-scholars.pdf"" target=""blank"">Brief of Amicus Curiae in Support of Petitioners</a>","Habeas Corpus, Military Commissions Act, Suspension Clause"
